metric,pattern,concurrency,rest_JT_z,rest_JT_p,rest_trend,graphql_JT_z,graphql_JT_p,graphql_trend,gap_delta_low,gap_delta_medium,gap_delta_high
xproc_p95,aggregate,100,5.896296296296296,3.717511851597676e-09,increasing,6.851851851851852,7.290003361781253e-12,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,10,10.0,1.523970604832094e-23,increasing,9.933333333333334,2.9811950411295795e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,10,10.0,1.523970604832094e-23,increasing,5.207407407407407,1.9149733945083913e-07,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,10,10.0,1.523970604832094e-23,increasing,8.385185185185184,5.0645961880653317e-17,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
