pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
filtered,low,50,xproc_p95,30,30,0.07831759999999996,0.43363469999999993,0.0,3.0179667984904466e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,low,100,xproc_p95,30,30,0.229825175,0.789302075,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,10,xproc_p95,30,30,0.0260714999999999,0.1308823999999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,50,xproc_p95,30,30,0.10709989999999986,0.4987025,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
filtered,medium,100,xproc_p95,30,30,0.273953875,0.8959483,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,10,xproc_p95,30,30,0.03974679999999995,0.13673727499999994,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,50,xproc_p95,30,30,0.2262199999999998,0.5335905999999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,100,xproc_p95,30,30,0.3673675999999999,1.0019038249999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,10,xproc_p95,30,30,0.017685249999999902,0.09501759999999926,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,50,xproc_p95,30,30,0.08740334999999996,0.40768185,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,100,xproc_p95,30,30,0.23404477499999995,0.7211755249999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,10,xproc_p95,30,30,0.0275937499999999,0.11968599999999999,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,50,xproc_p95,30,30,0.18385849999999998,0.45946465000000003,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,100,xproc_p95,30,30,0.29356942499999994,0.832881625,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
