pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
partial,high,50,lat_p95,30,30,285.844438025,622.0561841499997,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,high,100,lat_p95,30,30,506.988076125,1132.406908725,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,1,lat_p95,30,30,2.098548075,9.04791315,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,10,lat_p95,30,30,23.538797,134.28964674999997,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,50,lat_p95,30,30,179.07071464999996,443.9186595,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,low,100,lat_p95,30,30,292.88127929999996,806.39761095,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,1,lat_p95,30,30,3.0237892499999997,10.452956749999998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,10,lat_p95,30,30,36.92254239999998,149.46322907499996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,50,lat_p95,30,30,229.63707225000002,522.854003225,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
partial,medium,100,lat_p95,30,30,391.2220848,954.6331689249998,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
aggregate,high,1,throughput_rps,30,30,599.2040127699696,162.28111300151056,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,high,10,throughput_rps,30,30,659.1292184442086,170.95464174087255,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,high,50,throughput_rps,30,30,592.702361092365,169.40399721102514,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,high,100,throughput_rps,30,30,583.7728112632849,161.23854204516397,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,1,throughput_rps,30,30,609.1154634843184,166.409028841367,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,10,throughput_rps,30,30,689.3101230861488,176.51661256694018,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,50,throughput_rps,30,30,639.2956476515104,169.8409914311082,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,low,100,throughput_rps,30,30,624.4997403313969,167.31717948263318,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,1,throughput_rps,30,30,584.8441251519353,163.28218038005974,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,10,throughput_rps,30,30,663.8833727271772,170.0106480089608,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,50,throughput_rps,30,30,618.4452770191143,169.21585506221265,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
aggregate,medium,100,throughput_rps,30,30,588.2101078486019,162.5411459188747,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,1,throughput_rps,30,30,150.5242084832548,63.202840051669895,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,10,throughput_rps,30,30,164.31188271533017,64.43464092208791,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,50,throughput_rps,30,30,161.50705711072425,63.691892151337726,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,high,100,throughput_rps,30,30,159.0569071265623,63.06631300651213,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,1,throughput_rps,30,30,415.1419284418402,118.40073943672513,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,10,throughput_rps,30,30,461.89602373892455,123.55719511827851,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,50,throughput_rps,30,30,435.53575101004935,121.92040443699563,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,low,100,throughput_rps,30,30,423.25148665742876,119.6997925360956,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,1,throughput_rps,30,30,231.99721094584748,86.48969460276588,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,10,throughput_rps,30,30,255.0465521559075,88.64984670157608,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,50,throughput_rps,30,30,250.27906628554433,87.8924789969858,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
baseline,medium,100,throughput_rps,30,30,243.55328865712704,86.42845294349249,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,high,1,throughput_rps,30,30,300.63948750987197,96.69048438196694,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,high,10,throughput_rps,30,30,320.02511627829097,98.8205890222559,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,high,50,throughput_rps,30,30,307.9946641067041,97.28125576270523,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
