metric,pattern,concurrency,rest_JT_z,rest_JT_p,rest_trend,graphql_JT_z,graphql_JT_p,graphql_trend,gap_delta_low,gap_delta_medium,gap_delta_high
payload_bytes_med,baseline,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.5533333333333333,-0.6444444444444445,-0.3711111111111111
payload_bytes_med,filtered,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.88,-0.9333333333333333,-0.21777777777777776
payload_bytes_med,filtered,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.8844444444444445,-0.8666666666666667,-0.2777777777777778
payload_bytes_med,filtered,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.8311111111111111,-1.0,-0.3622222222222222
payload_bytes_med,filtered,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.68,-0.8,-0.5955555555555555
payload_bytes_med,partial,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.8888888888888888,-0.9977777777777778,-0.6266666666666667
payload_bytes_med,partial,10,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-0.9888888888888889,-0.82
payload_bytes_med,partial,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-0.88,-0.9755555555555555,-0.74
payload_bytes_med,partial,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-0.4177777777777778
xproc_p95,aggregate,1,6.088888888888889,1.1369698915179916e-09,increasing,6.551851851851852,5.6827905404332816e-11,increasing,-1.0,-1.0,-1.0
xproc_p95,aggregate,10,3.1333333333333333,0.0017283304181961365,increasing,0.5481481481481482,0.583590182337802,increasing,-1.0,-1.0,-1.0
xproc_p95,aggregate,50,4.703703703703703,2.5548394261029384e-06,increasing,-1.5777777777777777,0.11461667074564363,decreasing,-1.0,-1.0,-1.0
xproc_p95,aggregate,100,4.503703703703704,6.677929626567241e-06,increasing,3.925925925925926,8.63967424724623e-05,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,10,10.0,1.523970604832094e-23,increasing,9.792592592592593,1.2114892067871315e-22,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,50,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,baseline,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,10,10.0,1.523970604832094e-23,increasing,3.0814814814814815,0.0020597328834383393,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,50,9.851851851851851,6.729249861940949e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,filtered,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,1,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,10,10.0,1.523970604832094e-23,increasing,6.770370370370371,1.2845313180757406e-11,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,50,9.911111111111111,3.7248044900965144e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
xproc_p95,partial,100,10.0,1.523970604832094e-23,increasing,10.0,1.523970604832094e-23,increasing,-1.0,-1.0,-1.0
