protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
rest,partial,low,1,lat_p95,30,0.46140652372654173,False
rest,partial,low,10,lat_p95,30,0.9951259168543642,False
rest,partial,low,50,lat_p95,30,0.688363630537155,False
rest,partial,low,100,lat_p95,30,0.8035045965063026,False
rest,partial,medium,1,lat_p95,30,0.11051750269110405,False
rest,partial,medium,10,lat_p95,30,0.26110456366226975,False
rest,partial,medium,50,lat_p95,30,0.08189224531733066,False
rest,partial,medium,100,lat_p95,30,0.478513019713148,False
graphql,aggregate,high,1,throughput_rps,30,0.17127309820799957,False
graphql,aggregate,high,10,throughput_rps,30,0.022846506857459363,True
graphql,aggregate,high,50,throughput_rps,30,0.001044561948715287,True
graphql,aggregate,high,100,throughput_rps,30,0.28450579225398487,False
graphql,aggregate,low,1,throughput_rps,30,0.5107918887920064,False
graphql,aggregate,low,10,throughput_rps,30,0.26148130100937517,False
graphql,aggregate,low,50,throughput_rps,30,0.28757151242296686,False
graphql,aggregate,low,100,throughput_rps,30,0.9453336544827052,False
graphql,aggregate,medium,1,throughput_rps,30,0.006542242361538257,True
graphql,aggregate,medium,10,throughput_rps,30,0.1846805738562356,False
graphql,aggregate,medium,50,throughput_rps,30,0.0070671956579977475,True
graphql,aggregate,medium,100,throughput_rps,30,0.046866267675066485,True
graphql,baseline,high,1,throughput_rps,30,0.1454855984371496,False
graphql,baseline,high,10,throughput_rps,30,0.5533566813949404,False
graphql,baseline,high,50,throughput_rps,30,0.07011943434127826,False
graphql,baseline,high,100,throughput_rps,30,0.15260218416330756,False
graphql,baseline,low,1,throughput_rps,30,0.5296936162554293,False
graphql,baseline,low,10,throughput_rps,30,5.939820412802862e-06,True
graphql,baseline,low,50,throughput_rps,30,0.007280485509706873,True
graphql,baseline,low,100,throughput_rps,30,0.11797449054446163,False
graphql,baseline,medium,1,throughput_rps,30,0.04879633724998802,True
graphql,baseline,medium,10,throughput_rps,30,0.5090479329994999,False
graphql,baseline,medium,50,throughput_rps,30,0.061929739417620956,False
graphql,baseline,medium,100,throughput_rps,30,0.41290185045694194,False
graphql,filtered,high,1,throughput_rps,30,0.7378778834653561,False
graphql,filtered,high,10,throughput_rps,30,0.13767190723744893,False
graphql,filtered,high,50,throughput_rps,30,0.0748496724972276,False
graphql,filtered,high,100,throughput_rps,30,0.02670801207863911,True
graphql,filtered,low,1,throughput_rps,30,0.16042160211677287,False
graphql,filtered,low,10,throughput_rps,30,0.5207425654607492,False
graphql,filtered,low,50,throughput_rps,30,0.05003082050978017,False
graphql,filtered,low,100,throughput_rps,30,0.007579234145533733,True
graphql,filtered,medium,1,throughput_rps,30,0.3736456228990315,False
graphql,filtered,medium,10,throughput_rps,30,0.1240510319658864,False
graphql,filtered,medium,50,throughput_rps,30,0.12853593933769092,False
graphql,filtered,medium,100,throughput_rps,30,0.640329388199578,False
graphql,partial,high,1,throughput_rps,30,0.9914535039354574,False
graphql,partial,high,10,throughput_rps,30,0.0012571381432842541,True
graphql,partial,high,50,throughput_rps,30,0.06270875136731709,False
graphql,partial,high,100,throughput_rps,30,0.5037466211421227,False
graphql,partial,low,1,throughput_rps,30,0.571688840746136,False
graphql,partial,low,10,throughput_rps,30,0.025892991760372883,True
graphql,partial,low,50,throughput_rps,30,0.271115952950968,False
graphql,partial,low,100,throughput_rps,30,0.06488407077436412,False
