unix_ts,pid,cpu_percent,rss_mb
1783309802.022,1120185,0.00,54.34
1783309803.023,1120185,14.00,55.53
1783309804.024,1120185,14.00,55.96
1783309805.027,1120185,15.00,56.41
1783309806.028,1120185,15.00,56.66
1783309807.028,1120185,17.00,56.77
1783309808.029,1120185,14.00,56.78
1783309809.030,1120185,15.00,56.79
1783309810.030,1120185,14.00,56.85
1783309811.031,1120185,14.00,57.03
1783309812.032,1120185,14.00,57.18
1783309813.033,1120185,16.00,57.41
1783309814.033,1120185,14.00,57.56
1783309815.034,1120185,18.00,57.61
1783309816.035,1120185,14.00,57.62
1783309817.035,1120185,15.00,57.62
1783309818.036,1120185,14.00,57.62
1783309819.037,1120185,14.00,57.62
1783309820.037,1120185,16.00,57.63
1783309821.038,1120185,14.00,57.63
1783309822.038,1120185,14.00,57.66
1783309823.039,1120185,19.00,57.68
1783309824.040,1120185,14.00,57.68
1783309825.040,1120185,14.00,57.69
1783309826.041,1120185,15.00,57.70
1783309827.042,1120185,15.00,57.70
1783309828.042,1120185,14.00,57.70
1783309829.043,1120185,14.00,57.72
1783309830.044,1120185,15.00,57.73
1783309831.044,1120185,19.00,57.75
1783309832.045,1120185,15.00,57.75
1783309833.046,1120185,14.00,57.75
1783309834.047,1120185,14.00,57.75
1783309835.047,1120185,14.00,57.75
1783309836.048,1120185,14.00,57.75
1783309837.049,1120185,15.00,57.75
1783309838.050,1120185,15.00,57.75
1783309839.050,1120185,20.00,57.78
1783309840.051,1120185,14.00,57.78
1783309841.052,1120185,14.00,57.78
1783309842.053,1120185,15.00,57.78
1783309843.053,1120185,14.00,57.78
1783309844.054,1120185,15.00,57.78
1783309845.055,1120185,15.00,57.79
1783309846.056,1120185,13.00,57.81
1783309847.056,1120185,15.00,57.81
1783309848.057,1120185,19.00,57.82
1783309849.058,1120185,14.00,57.82
1783309850.059,1120185,14.00,57.82
1783309851.060,1120185,15.00,57.82
1783309852.060,1120185,14.00,57.84
1783309853.061,1120185,16.00,57.84
1783309854.062,1120185,14.00,57.84
1783309855.062,1120185,15.00,57.84
1783309856.063,1120185,19.00,57.85
1783309857.064,1120185,14.00,57.85
1783309858.064,1120185,14.00,57.85
1783309859.065,1120185,14.00,57.85
1783309860.066,1120185,15.00,57.85
1783309861.066,1120185,15.00,57.85
1783309862.067,1120185,14.00,57.86
1783309863.068,1120185,14.00,57.86
1783309864.068,1120185,19.00,57.86
1783309865.069,1120185,15.00,57.86
1783309866.070,1120185,14.00,57.86
1783309867.070,1120185,13.00,57.86
1783309868.071,1120185,15.00,57.86
1783309869.071,1120185,14.00,57.86
1783309870.072,1120185,15.00,57.88
1783309871.073,1120185,14.00,57.89
1783309872.073,1120185,15.00,57.89
1783309873.074,1120185,14.00,57.89
1783309874.075,1120185,19.00,57.89
1783309875.075,1120185,15.00,57.89
1783309876.076,1120185,15.00,57.89
1783309877.076,1120185,14.00,57.89
1783309878.077,1120185,15.00,57.89
1783309879.078,1120185,14.00,57.89
1783309880.078,1120185,15.00,57.89
1783309881.079,1120185,14.00,57.89
1783309882.079,1120185,19.00,57.89
1783309883.080,1120185,14.00,57.89
1783309884.081,1120185,15.00,57.89
1783309885.081,1120185,14.00,57.89
1783309886.082,1120185,15.00,57.89
1783309887.082,1120185,15.00,57.89
1783309888.083,1120185,14.00,57.89
1783309889.084,1120185,15.00,57.89
1783309890.084,1120185,18.00,57.89
1783309891.085,1120185,14.00,57.89
1783309892.085,1120185,15.00,57.89
1783309893.086,1120185,7.00,57.89
1783309894.087,1120185,15.00,57.89
1783309895.087,1120185,14.00,57.89
1783309896.088,1120185,15.00,57.89
1783309897.088,1120185,15.00,57.89
1783309898.089,1120185,14.00,57.90
1783309899.090,1120185,20.00,57.91
1783309900.090,1120185,14.00,57.91
1783309901.091,1120185,14.00,57.91
1783309902.091,1120185,15.00,57.91
1783309903.092,1120185,15.00,57.91
1783309904.092,1120185,14.00,57.91
1783309905.093,1120185,15.00,57.91
1783309906.094,1120185,14.00,57.91
1783309907.094,1120185,15.00,57.91
1783309908.095,1120185,19.00,57.91
1783309909.095,1120185,14.00,57.91
1783309910.096,1120185,14.00,57.91
1783309911.097,1120185,16.00,57.91
1783309912.097,1120185,14.00,57.91
1783309913.098,1120185,15.00,57.91
1783309914.098,1120185,15.00,57.91
1783309915.099,1120185,14.00,57.91
1783309916.100,1120185,19.00,57.91
1783309917.100,1120185,15.00,57.91
1783309918.101,1120185,15.00,57.91
1783309919.101,1120185,14.00,57.91
1783309920.102,1120185,14.00,57.91
1783309921.103,1120185,15.00,57.91
1783309922.103,1120185,14.00,57.91
1783309923.104,1120185,14.00,57.91
1783309924.104,1120185,15.00,57.91
1783309925.105,1120185,18.00,57.91
1783309926.106,1120185,14.00,57.91
1783309927.106,1120185,15.00,57.91
1783309928.106,1120185,15.00,57.91
1783309929.107,1120185,14.00,57.91
1783309930.108,1120185,14.00,57.91
1783309931.108,1120185,14.00,57.91
1783309932.109,1120185,16.00,57.91
1783309933.109,1120185,17.00,57.91
1783309934.110,1120185,15.00,57.91
1783309935.111,1120185,15.00,57.91
1783309936.111,1120185,14.00,57.91
1783309937.112,1120185,14.00,57.91
1783309938.112,1120185,15.00,57.91
1783309939.113,1120185,14.00,57.91
1783309940.113,1120185,15.00,57.91
1783309941.114,1120185,14.00,57.91
1783309942.114,1120185,19.00,57.91
1783309943.115,1120185,15.00,57.91
1783309944.115,1120185,14.00,57.91
1783309945.116,1120185,15.00,57.91
1783309946.116,1120185,14.00,57.91
1783309947.117,1120185,14.00,57.91
1783309948.118,1120185,15.00,57.91
1783309949.118,1120185,15.00,57.91
1783309950.119,1120185,18.00,57.91
1783309951.119,1120185,15.00,57.91
1783309952.120,1120185,15.00,57.91
1783309953.121,1120185,14.00,57.91
1783309954.121,1120185,14.00,57.91
1783309955.122,1120185,14.00,57.91
1783309956.122,1120185,16.00,57.91
1783309957.123,1120185,14.00,57.91
1783309958.124,1120185,15.00,57.91
1783309959.124,1120185,17.00,57.91
1783309960.125,1120185,15.00,57.91
1783309961.125,1120185,15.00,57.91
1783309962.126,1120185,14.00,57.91
1783309963.127,1120185,14.00,57.91
1783309964.127,1120185,15.00,57.91
1783309965.128,1120185,15.00,57.91
1783309966.129,1120185,14.00,57.91
1783309967.129,1120185,18.00,57.91
1783309968.130,1120185,14.00,57.91
1783309969.130,1120185,16.00,57.91
1783309970.131,1120185,14.00,57.91
1783309971.132,1120185,15.00,57.91
1783309972.132,1120185,15.00,57.91
1783309973.133,1120185,14.00,57.91
1783309974.134,1120185,15.00,57.91
1783309975.134,1120185,15.00,57.91
1783309976.135,1120185,18.00,57.92
1783309977.135,1120185,14.00,57.92
1783309978.136,1120185,15.00,57.92
1783309979.137,1120185,15.00,57.92
1783309980.137,1120185,15.00,57.92
1783309981.138,1120185,14.00,57.92
1783309982.138,1120185,14.00,57.92
1783309983.139,1120185,10.00,57.92
1783309984.140,1120185,12.00,57.92
1783309985.141,1120185,19.00,57.92
1783309986.141,1120185,14.00,57.92
1783309987.142,1120185,15.00,57.92
1783309988.142,1120185,15.00,57.92
1783309989.143,1120185,14.00,57.92
1783309990.144,1120185,15.00,57.92
1783309991.144,1120185,15.00,57.93
1783309992.145,1120185,15.00,57.93
1783309993.145,1120185,18.00,57.93
1783309994.146,1120185,14.00,57.93
1783309995.146,1120185,14.00,57.93
1783309996.147,1120185,16.00,57.93
1783309997.148,1120185,14.00,57.93
1783309998.148,1120185,14.00,57.93
1783309999.149,1120185,14.00,57.93
1783310000.149,1120185,16.00,57.93
1783310001.150,1120185,18.00,57.93
1783310002.150,1120185,15.00,57.93
1783310003.151,1120185,14.00,57.93
1783310004.152,1120185,15.00,57.93
1783310005.153,1120185,14.00,57.93
1783310006.153,1120185,14.00,57.93
1783310007.154,1120185,15.00,57.93
1783310008.154,1120185,15.00,57.93
1783310009.155,1120185,18.00,57.94
1783310010.155,1120185,15.00,57.94
1783310011.156,1120185,15.00,57.95
1783310012.157,1120185,14.00,57.95
1783310013.157,1120185,14.00,57.95
1783310014.158,1120185,16.00,57.95
1783310015.159,1120185,14.00,57.95
1783310016.159,1120185,14.00,57.95
1783310017.160,1120185,16.00,57.95
1783310018.160,1120185,18.00,57.95
1783310019.161,1120185,14.00,57.95
1783310020.162,1120185,15.00,57.95
1783310021.162,1120185,15.00,57.95
1783310022.163,1120185,14.00,57.95
1783310023.163,1120185,16.00,57.95
1783310024.164,1120185,14.00,57.95
1783310025.165,1120185,14.00,57.95
1783310026.165,1120185,19.00,57.95
1783310027.166,1120185,15.00,57.95
1783310028.166,1120185,13.00,57.95
1783310029.167,1120185,15.00,57.95
1783310030.168,1120185,15.00,57.95
1783310031.168,1120185,14.00,57.95
1783310032.169,1120185,14.00,57.95
1783310033.170,1120185,14.00,57.95
1783310034.170,1120185,16.00,57.95
1783310035.170,1120185,18.00,57.95
1783310036.171,1120185,15.00,57.95
1783310037.172,1120185,14.00,57.95
1783310038.172,1120185,15.00,57.95
1783310039.173,1120185,15.00,57.95
1783310040.174,1120185,15.00,57.95
1783310041.174,1120185,13.00,57.95
1783310042.175,1120185,15.00,57.95
1783310043.176,1120185,15.00,57.95
1783310044.176,1120185,18.00,57.95
1783310045.177,1120185,14.00,57.95
1783310046.177,1120185,15.00,57.95
1783310047.178,1120185,14.00,57.95
1783310048.179,1120185,15.00,57.95
1783310049.179,1120185,14.00,57.95
1783310050.180,1120185,15.00,57.95
1783310051.180,1120185,14.00,57.95
1783310052.181,1120185,18.00,57.97
1783310053.182,1120185,15.00,57.97
1783310054.182,1120185,14.00,57.97
1783310055.183,1120185,15.00,57.97
1783310056.184,1120185,15.00,57.97
1783310057.184,1120185,15.00,57.97
1783310058.185,1120185,14.00,57.97
1783310059.186,1120185,15.00,57.97
1783310060.186,1120185,18.00,57.97
1783310061.187,1120185,14.00,57.97
1783310062.188,1120185,15.00,57.97
1783310063.188,1120185,14.00,57.97
1783310064.189,1120185,14.00,57.97
1783310065.190,1120185,15.00,57.97
1783310066.191,1120185,14.00,57.97
1783310067.191,1120185,15.00,57.97
1783310068.192,1120185,19.00,57.97
1783310069.193,1120185,14.00,57.97
1783310070.193,1120185,14.00,57.97
1783310071.194,1120185,16.00,57.97
1783310072.194,1120185,14.00,57.97
1783310073.195,1120185,14.00,57.97
1783310074.195,1120185,7.00,57.97
1783310075.196,1120185,16.00,57.97
1783310076.196,1120185,15.00,57.98
1783310077.197,1120185,17.00,57.99
1783310078.198,1120185,15.00,57.99
1783310079.198,1120185,15.00,57.99
1783310080.199,1120185,14.00,57.99
1783310081.199,1120185,15.00,57.99
1783310082.200,1120185,14.00,57.99
1783310083.201,1120185,15.00,57.99
1783310084.201,1120185,15.00,57.99
1783310085.202,1120185,18.00,58.00
1783310086.202,1120185,15.00,58.00
1783310087.203,1120185,14.00,58.00
1783310088.204,1120185,15.00,58.00
1783310089.204,1120185,13.00,58.00
1783310090.205,1120185,16.00,58.00
1783310091.205,1120185,14.00,58.00
1783310092.206,1120185,15.00,58.00
1783310093.207,1120185,18.00,58.00
1783310094.208,1120185,14.00,58.00
1783310095.208,1120185,16.00,58.00
1783310096.209,1120185,14.00,58.00
1783310097.210,1120185,14.00,58.00
1783310098.210,1120185,14.00,58.00
1783310099.211,1120185,16.00,58.00
1783310100.211,1120185,14.00,58.00
1783310101.212,1120185,15.00,58.00
1783310102.213,1120185,18.00,58.00
1783310103.213,1120185,15.00,58.00
1783310104.214,1120185,15.00,58.00
1783310105.215,1120185,14.00,58.00
1783310106.215,1120185,14.00,58.00
1783310107.216,1120185,15.00,58.00
1783310108.217,1120185,15.00,58.00
1783310109.217,1120185,15.00,58.00
1783310110.218,1120185,18.00,58.00
1783310111.219,1120185,14.00,58.00
1783310112.219,1120185,15.00,58.00
1783310113.220,1120185,14.00,58.00
1783310114.221,1120185,15.00,58.00
1783310115.221,1120185,15.00,58.00
1783310116.221,1120185,14.00,58.00
1783310117.222,1120185,15.00,58.00
1783310118.222,1120185,14.00,58.00
1783310119.223,1120185,18.00,58.00
1783310120.223,1120185,16.00,58.00
1783310121.224,1120185,14.00,58.00
1783310122.225,1120185,14.00,58.00
1783310123.225,1120185,16.00,58.00
1783310124.226,1120185,14.00,58.00
1783310125.227,1120185,14.00,58.00
1783310126.227,1120185,15.00,58.00
1783310127.228,1120185,19.00,58.01
1783310128.229,1120185,14.00,58.01
1783310129.229,1120185,14.00,58.01
1783310130.230,1120185,14.00,58.01
1783310131.230,1120185,15.00,58.01
1783310132.231,1120185,15.00,58.01
1783310133.231,1120185,14.00,58.01
1783310134.232,1120185,17.00,58.01
1783310135.233,1120185,18.00,58.03
1783310136.233,1120185,14.00,58.03
1783310137.234,1120185,15.00,58.03
1783310138.234,1120185,14.00,58.03
1783310139.235,1120185,15.00,58.03
1783310140.236,1120185,14.00,58.03
1783310141.236,1120185,15.00,58.03
1783310142.237,1120185,14.00,58.03
1783310143.238,1120185,19.00,58.03
1783310144.238,1120185,15.00,58.03
1783310145.239,1120185,15.00,58.03
1783310146.239,1120185,14.00,58.03
1783310147.240,1120185,15.00,58.03
1783310148.240,1120185,14.00,58.03
1783310149.241,1120185,15.00,58.03
1783310150.242,1120185,15.00,58.03
1783310151.242,1120185,17.00,58.03
1783310152.243,1120185,16.00,58.03
1783310153.243,1120185,14.00,58.03
1783310154.244,1120185,14.00,58.03
1783310155.245,1120185,15.00,58.03
1783310156.245,1120185,15.00,58.03
1783310157.246,1120185,15.00,58.03
1783310158.246,1120185,14.00,58.03
1783310159.247,1120185,15.00,58.03
1783310160.248,1120185,19.00,58.03
1783310161.248,1120185,14.00,58.03
1783310162.249,1120185,14.00,58.03
1783310163.249,1120185,16.00,58.03
1783310164.250,1120185,10.00,58.03
1783310165.251,1120185,11.00,58.03
1783310166.251,1120185,15.00,58.03
1783310167.252,1120185,14.00,58.03
1783310168.252,1120185,18.00,58.03
1783310169.253,1120185,15.00,58.03
1783310170.254,1120185,14.00,58.03
