unix_ts,pid,cpu_percent,rss_mb
1783230682.287,1075960,0.00,60.70
1783230683.288,1075960,25.00,60.70
1783230684.288,1075960,52.00,60.71
1783230685.289,1075960,49.00,60.78
1783230686.289,1075960,48.00,60.78
1783230687.290,1075960,48.00,60.80
1783230688.291,1075960,51.00,60.81
1783230689.292,1075960,48.00,60.81
1783230690.292,1075960,48.00,60.81
1783230691.293,1075960,52.00,60.81
1783230692.294,1075960,47.00,60.81
1783230693.294,1075960,52.00,60.81
1783230694.295,1075960,48.00,60.81
1783230695.296,1075960,49.00,60.81
1783230696.297,1075960,53.00,60.81
1783230697.297,1075960,48.00,60.81
1783230698.298,1075960,48.00,60.81
1783230699.299,1075960,52.90,60.81
1783230700.300,1075960,48.00,60.81
1783230701.300,1075960,48.00,60.81
1783230702.301,1075960,52.00,60.81
1783230703.302,1075960,48.00,60.81
1783230704.302,1075960,52.00,60.81
1783230705.303,1075960,48.00,60.81
1783230706.304,1075960,49.00,60.81
1783230707.304,1075960,51.00,60.81
1783230708.305,1075960,49.00,60.81
1783230709.306,1075960,47.00,60.81
1783230710.306,1075960,50.00,60.81
1783230711.307,1075960,51.00,60.81
1783230712.307,1075960,48.00,60.81
1783230713.308,1075960,52.00,60.81
1783230714.309,1075960,48.00,60.81
1783230715.309,1075960,49.00,60.81
1783230716.310,1075960,48.00,60.81
1783230717.311,1075960,52.00,60.81
1783230718.311,1075960,48.00,60.81
1783230719.312,1075960,52.00,60.81
1783230720.312,1075960,48.00,60.81
1783230721.313,1075960,48.00,60.81
1783230722.313,1075960,52.00,60.81
1783230723.314,1075960,48.00,60.81
1783230724.315,1075960,48.00,60.81
1783230725.315,1075960,53.00,60.81
1783230726.316,1075960,48.00,60.81
1783230727.316,1075960,52.00,60.81
1783230728.317,1075960,48.00,60.81
1783230729.318,1075960,48.00,60.81
1783230730.318,1075960,52.00,60.81
1783230731.319,1075960,48.00,60.81
1783230732.320,1075960,49.90,60.81
1783230733.321,1075960,49.90,60.81
1783230734.322,1075960,48.00,60.81
1783230735.322,1075960,52.00,60.81
