unix_ts,pid,cpu_percent,rss_mb
1783050352.868,739818,0.00,47.20
1783050353.868,739818,26.00,50.45
1783050354.869,739818,37.00,51.80
1783050355.870,739818,35.00,52.23
1783050356.870,739818,32.00,52.29
1783050357.871,739818,32.00,52.31
1783050358.872,739818,35.00,52.33
1783050359.872,739818,33.00,52.34
1783050360.873,739818,34.00,52.35
1783050361.874,739818,32.00,52.36
1783050362.874,739818,34.00,52.38
1783050363.875,739818,32.00,52.38
1783050364.875,739818,33.00,52.39
1783050365.876,739818,31.00,52.47
1783050366.877,739818,31.00,52.53
1783050367.878,739818,30.00,52.53
1783050368.878,739818,31.00,52.57
1783050369.879,739818,32.00,52.57
1783050370.879,739818,30.00,52.57
1783050371.880,739818,31.00,52.57
1783050372.881,739818,32.00,52.57
1783050373.881,739818,33.00,52.58
1783050374.882,739818,31.00,52.58
1783050375.883,739818,31.00,52.58
1783050376.883,739818,31.00,52.59
1783050377.884,739818,33.00,52.60
1783050378.885,739818,33.00,52.60
1783050379.885,739818,32.00,52.61
1783050380.886,739818,32.00,52.61
1783050381.887,739818,33.00,52.61
1783050382.887,739818,33.00,52.61
1783050383.888,739818,34.00,52.61
1783050384.888,739818,32.00,52.64
1783050385.889,739818,32.00,52.64
1783050386.890,739818,33.00,52.65
1783050387.890,739818,33.00,52.71
1783050388.890,739818,32.00,52.71
1783050389.891,739818,38.00,52.71
1783050390.892,739818,37.00,54.67
1783050391.892,739818,37.00,57.00
1783050392.892,739818,34.00,57.07
1783050393.893,739818,32.00,57.09
1783050394.893,739818,33.00,57.09
1783050395.894,739818,33.00,57.10
1783050396.895,739818,33.00,57.11
1783050397.895,739818,34.00,57.12
1783050398.896,739818,33.00,57.12
1783050399.896,739818,32.00,57.12
1783050400.897,739818,33.00,57.12
1783050401.898,739818,33.00,57.12
1783050402.898,739818,32.00,57.12
1783050403.899,739818,33.00,57.11
1783050404.900,739818,33.00,57.11
1783050405.901,739818,35.00,57.12
1783050406.901,739818,33.00,57.12
1783050407.902,739818,33.00,57.12
1783050408.903,739818,34.00,57.12
1783050409.903,739818,33.00,57.12
1783050410.904,739818,33.00,57.12
1783050411.905,739818,33.00,57.12
1783050412.905,739818,33.00,57.12
1783050413.906,739818,33.00,57.12
1783050414.907,739818,34.00,57.12
1783050415.908,739818,33.00,57.12
1783050416.908,739818,35.00,57.12
1783050417.909,739818,34.00,57.12
1783050418.910,739818,34.00,57.12
1783050419.910,739818,35.00,57.12
1783050420.911,739818,34.00,57.12
1783050421.912,739818,40.00,59.31
1783050422.913,739818,39.00,59.34
1783050423.913,739818,33.00,59.41
1783050424.914,739818,32.00,59.44
1783050425.914,739818,33.00,59.46
1783050426.915,739818,33.00,59.47
1783050427.916,739818,40.00,60.62
1783050428.916,739818,34.00,61.91
1783050429.917,739818,38.00,62.05
1783050430.917,739818,35.00,62.09
1783050431.918,739818,33.00,62.09
1783050432.919,739818,43.00,62.30
1783050433.919,739818,34.00,62.30
1783050434.920,739818,34.00,62.30
1783050435.921,739818,34.00,62.30
1783050436.921,739818,35.00,62.30
1783050437.922,739818,34.00,62.30
1783050438.923,739818,34.00,62.30
1783050439.923,739818,35.00,62.31
1783050440.924,739818,37.00,62.31
1783050441.925,739818,34.00,62.31
1783050442.925,739818,33.00,62.29
1783050443.926,739818,15.00,62.30
1783050444.927,739818,35.00,62.30
1783050445.927,739818,37.00,62.31
1783050446.928,739818,32.00,62.31
