unix_ts,pid,cpu_percent,rss_mb
1783222250.957,1075960,0.00,54.33
1783222251.958,1075960,33.00,57.90
1783222252.959,1075960,40.00,58.57
1783222253.960,1075960,45.00,58.80
1783222254.961,1075960,40.00,59.10
1783222255.961,1075960,40.00,59.52
1783222256.962,1075960,41.00,59.95
1783222257.963,1075960,45.00,60.07
1783222258.963,1075960,39.00,60.07
1783222259.964,1075960,40.00,60.07
1783222260.964,1075960,40.00,60.09
1783222261.965,1075960,45.00,60.12
1783222262.966,1075960,39.00,60.12
1783222263.966,1075960,41.00,60.12
1783222264.967,1075960,41.00,60.15
1783222265.968,1075960,44.00,60.18
1783222266.969,1075960,41.00,60.18
1783222267.969,1075960,40.00,60.18
1783222268.970,1075960,45.00,60.18
1783222269.970,1075960,40.00,60.18
1783222270.971,1075960,41.00,60.18
1783222271.974,1075960,39.90,60.18
1783222272.975,1075960,45.00,60.20
1783222273.975,1075960,39.00,60.20
1783222274.976,1075960,41.00,60.20
1783222275.977,1075960,40.00,60.20
1783222276.978,1075960,44.00,60.20
1783222277.978,1075960,39.00,60.20
1783222278.979,1075960,40.00,60.20
1783222279.980,1075960,40.00,60.20
1783222280.980,1075960,44.00,60.20
1783222281.981,1075960,41.00,60.20
1783222282.981,1075960,42.00,60.20
1783222283.982,1075960,45.00,60.21
1783222284.983,1075960,41.00,60.21
1783222285.984,1075960,40.00,60.21
1783222286.985,1075960,41.00,60.21
1783222287.986,1075960,45.00,60.21
1783222288.986,1075960,41.00,60.21
1783222289.987,1075960,39.00,60.21
1783222290.988,1075960,41.00,60.21
1783222291.989,1075960,43.00,60.23
1783222292.989,1075960,41.00,60.23
1783222293.990,1075960,41.00,60.23
1783222294.991,1075960,41.00,60.24
1783222295.991,1075960,44.00,60.25
1783222296.992,1075960,41.00,60.25
1783222297.993,1075960,40.00,60.25
1783222298.994,1075960,40.00,60.26
1783222299.994,1075960,44.00,60.27
1783222300.995,1075960,40.00,60.27
1783222301.996,1075960,39.00,60.27
1783222302.997,1075960,43.00,60.27
1783222303.997,1075960,41.00,60.27
1783222304.999,1075960,40.00,60.27
1783222305.999,1075960,40.00,60.27
1783222307.000,1075960,43.00,60.27
1783222308.001,1075960,41.00,60.27
1783222309.001,1075960,41.00,60.27
1783222310.002,1075960,38.00,60.27
1783222311.002,1075960,45.00,60.27
1783222312.003,1075960,40.00,60.27
1783222313.007,1075960,39.80,60.27
1783222314.010,1075960,41.00,60.27
1783222315.010,1075960,43.00,60.27
1783222316.011,1075960,40.00,60.27
1783222317.012,1075960,40.00,60.27
1783222318.013,1075960,40.00,60.27
1783222319.013,1075960,44.00,60.27
1783222320.014,1075960,41.00,60.27
1783222321.015,1075960,39.00,60.27
1783222322.015,1075960,44.00,60.27
1783222323.016,1075960,40.00,60.27
1783222324.017,1075960,39.00,60.27
1783222325.018,1075960,41.00,60.27
1783222326.018,1075960,43.00,60.27
1783222327.019,1075960,40.00,60.27
1783222328.019,1075960,40.00,60.27
1783222329.020,1075960,41.00,60.27
1783222330.021,1075960,44.00,60.27
1783222331.022,1075960,40.00,60.27
1783222332.022,1075960,41.00,60.27
1783222333.023,1075960,39.00,60.27
1783222334.024,1075960,44.00,60.27
1783222335.025,1075960,40.00,60.27
1783222336.026,1075960,40.00,60.27
1783222337.027,1075960,40.00,60.27
1783222338.027,1075960,44.00,60.27
1783222339.028,1075960,39.00,60.27
1783222340.029,1075960,40.00,60.27
1783222341.030,1075960,42.00,60.28
1783222342.031,1075960,18.00,60.28
1783222343.032,1075960,40.00,60.28
1783222344.033,1075960,40.00,60.30
1783222345.033,1075960,39.00,60.30
1783222346.034,1075960,45.00,60.30
1783222347.035,1075960,41.00,60.30
1783222348.038,1075960,38.90,60.30
1783222349.039,1075960,40.00,60.30
1783222350.040,1075960,41.00,60.30
1783222351.041,1075960,44.00,60.30
1783222352.041,1075960,40.00,60.30
1783222353.042,1075960,39.00,60.30
1783222354.043,1075960,44.00,60.30
1783222355.044,1075960,41.00,60.30
1783222356.045,1075960,39.00,60.30
1783222357.045,1075960,41.00,60.30
1783222358.046,1075960,44.00,60.30
1783222359.047,1075960,39.00,60.30
1783222360.047,1075960,41.00,60.30
1783222361.048,1075960,41.00,60.30
1783222362.049,1075960,44.00,60.30
1783222363.050,1075960,40.00,60.30
1783222364.053,1075960,38.90,60.30
1783222365.053,1075960,41.00,60.30
1783222366.054,1075960,44.00,60.30
1783222367.055,1075960,40.00,60.30
1783222368.056,1075960,40.00,60.30
1783222369.057,1075960,39.00,60.30
1783222370.058,1075960,44.00,60.30
1783222371.058,1075960,41.00,60.30
1783222372.059,1075960,40.00,60.30
1783222373.060,1075960,44.00,60.30
1783222374.061,1075960,39.00,60.30
1783222375.062,1075960,41.00,60.30
1783222376.062,1075960,40.00,60.30
1783222377.063,1075960,44.00,60.30
1783222378.064,1075960,39.00,60.30
1783222379.064,1075960,40.00,60.30
1783222380.065,1075960,40.00,60.30
1783222381.066,1075960,44.00,60.30
1783222382.067,1075960,39.00,60.30
1783222383.067,1075960,39.00,60.30
1783222384.068,1075960,39.00,60.30
1783222385.071,1075960,44.90,60.30
1783222386.072,1075960,40.00,60.30
1783222387.073,1075960,42.00,60.30
1783222388.074,1075960,44.00,60.30
1783222389.074,1075960,41.00,60.30
1783222390.075,1075960,42.00,60.30
1783222391.078,1075960,38.90,60.30
1783222392.078,1075960,46.00,60.30
1783222393.079,1075960,40.00,60.30
1783222394.080,1075960,41.00,60.30
1783222395.081,1075960,41.00,60.30
1783222396.082,1075960,44.00,60.30
1783222397.083,1075960,42.00,60.30
1783222398.084,1075960,40.00,60.30
1783222399.085,1075960,40.00,60.30
1783222400.086,1075960,45.00,60.30
1783222401.087,1075960,40.00,60.30
1783222402.087,1075960,41.00,60.30
1783222403.088,1075960,40.00,60.30
1783222404.089,1075960,43.00,60.30
1783222405.090,1075960,41.00,60.30
1783222406.092,1075960,39.90,60.30
1783222407.095,1075960,39.90,60.30
1783222408.096,1075960,44.00,60.30
1783222409.097,1075960,40.00,60.30
1783222410.097,1075960,39.00,60.30
1783222411.098,1075960,43.00,60.30
1783222412.099,1075960,40.00,60.30
1783222413.100,1075960,41.00,60.30
1783222414.100,1075960,39.00,60.30
1783222415.101,1075960,46.00,60.30
1783222416.102,1075960,39.00,60.30
1783222417.102,1075960,41.00,60.30
1783222418.103,1075960,41.00,60.30
1783222419.104,1075960,44.00,60.31
1783222420.105,1075960,41.00,60.31
1783222421.106,1075960,40.00,60.31
1783222422.107,1075960,40.00,60.31
1783222423.108,1075960,44.00,60.31
1783222424.108,1075960,40.00,60.31
1783222425.109,1075960,40.00,60.31
1783222426.110,1075960,41.00,60.31
1783222427.111,1075960,42.90,60.31
1783222428.114,1075960,41.00,60.31
1783222429.114,1075960,39.00,60.31
1783222430.115,1075960,41.00,60.31
1783222431.116,1075960,43.00,60.31
1783222432.117,1075960,28.00,60.31
1783222433.118,1075960,30.00,60.31
