unix_ts,pid,cpu_percent,rss_mb
1783196734.224,1067385,0.00,61.09
1783196735.225,1067385,74.00,61.10
1783196736.226,1067385,99.90,61.11
1783196737.226,1067385,100.90,61.19
1783196738.227,1067385,98.90,61.65
1783196739.228,1067385,100.90,61.84
1783196740.228,1067385,98.90,62.25
1783196741.229,1067385,100.90,62.71
1783196742.230,1067385,99.90,62.96
1783196743.231,1067385,99.90,63.36
1783196744.232,1067385,99.90,63.63
1783196745.232,1067385,99.90,64.37
1783196746.233,1067385,99.90,64.43
1783196747.234,1067385,99.90,64.75
1783196748.235,1067385,99.90,65.08
1783196749.235,1067385,99.90,65.10
1783196750.236,1067385,100.90,65.23
1783196751.237,1067385,98.90,65.42
1783196752.238,1067385,100.90,65.79
1783196753.238,1067385,98.90,65.93
1783196754.239,1067385,99.90,66.28
1783196755.240,1067385,99.90,66.35
1783196756.241,1067385,100.90,66.45
1783196757.241,1067385,99.90,66.80
1783196758.242,1067385,99.90,67.12
1783196759.243,1067385,98.90,67.30
1783196760.244,1067385,99.90,67.39
1783196761.244,1067385,99.90,67.88
1783196762.245,1067385,99.90,68.11
1783196763.246,1067385,99.90,68.16
1783196764.247,1067385,99.90,68.28
1783196765.247,1067385,99.90,68.81
1783196766.248,1067385,100.90,69.00
1783196767.249,1067385,99.90,69.07
1783196768.249,1067385,98.90,69.10
1783196769.250,1067385,100.90,69.72
1783196770.250,1067385,98.90,69.86
1783196771.251,1067385,100.90,69.95
1783196772.251,1067385,99.90,70.00
1783196773.252,1067385,99.90,70.35
1783196774.253,1067385,99.90,70.86
1783196775.253,1067385,99.90,71.26
1783196776.254,1067385,99.90,71.29
1783196777.255,1067385,99.90,71.46
1783196778.256,1067385,99.90,71.48
1783196779.256,1067385,99.90,72.00
1783196780.257,1067385,99.90,72.20
1783196781.258,1067385,99.90,72.23
1783196782.258,1067385,99.90,72.35
1783196783.259,1067385,99.90,72.35
1783196784.260,1067385,99.90,73.11
1783196785.261,1067385,100.90,73.25
1783196786.261,1067385,99.90,73.44
1783196787.262,1067385,98.90,73.53
1783196788.263,1067385,101.00,73.73
1783196789.263,1067385,99.90,73.74
