unix_ts,pid,cpu_percent,rss_mb
1783162959.962,1049423,0.00,54.34
1783162960.963,1049423,16.00,55.96
1783162961.963,1049423,18.00,56.68
1783162962.964,1049423,17.00,57.27
1783162963.965,1049423,17.00,57.73
1783162964.966,1049423,21.00,58.00
1783162965.966,1049423,16.00,58.23
1783162966.967,1049423,17.00,58.50
1783162967.968,1049423,18.00,58.69
1783162968.969,1049423,17.00,58.88
1783162969.969,1049423,16.00,59.04
1783162970.970,1049423,18.00,59.22
1783162971.971,1049423,20.00,59.35
1783162972.972,1049423,17.00,59.35
1783162973.973,1049423,17.00,59.35
1783162974.973,1049423,17.00,59.35
1783162975.974,1049423,16.00,59.36
1783162976.975,1049423,17.00,59.36
1783162977.976,1049423,17.00,59.37
1783162978.976,1049423,17.00,59.38
1783162979.977,1049423,20.00,59.45
1783162980.977,1049423,18.00,59.45
1783162981.978,1049423,16.00,59.45
1783162982.979,1049423,17.00,59.45
1783162983.980,1049423,17.00,59.45
1783162984.980,1049423,17.00,59.45
1783162985.981,1049423,17.00,59.47
1783162986.982,1049423,17.00,59.49
1783162987.982,1049423,21.00,59.49
1783162988.983,1049423,18.00,59.49
1783162989.984,1049423,17.00,59.49
1783162990.984,1049423,17.00,59.49
1783162991.985,1049423,18.00,59.49
1783162992.985,1049423,16.00,59.49
1783162993.986,1049423,18.00,59.49
1783162994.987,1049423,21.00,59.50
1783162995.988,1049423,17.00,59.50
1783162996.988,1049423,17.00,59.50
1783162997.989,1049423,19.00,59.50
1783162998.990,1049423,17.00,59.50
1783162999.990,1049423,17.00,59.50
1783163000.991,1049423,18.00,59.50
1783163001.991,1049423,16.00,59.50
1783163002.992,1049423,22.00,59.51
1783163003.992,1049423,17.00,59.51
1783163004.993,1049423,17.00,59.51
1783163005.993,1049423,18.00,59.51
1783163006.994,1049423,17.00,59.51
1783163007.994,1049423,17.00,59.51
1783163008.995,1049423,18.00,59.51
1783163009.996,1049423,16.00,59.52
1783163010.996,1049423,22.00,59.52
1783163011.997,1049423,18.00,59.52
