unix_ts,pid,cpu_percent,rss_mb
1783089764.666,761746,0.00,54.10
1783089765.666,761746,11.00,54.10
1783089766.667,761746,21.00,54.10
1783089767.668,761746,19.00,54.10
1783089768.668,761746,20.00,54.10
1783089769.669,761746,20.00,54.10
1783089770.670,761746,19.00,54.10
1783089771.671,761746,19.00,54.10
1783089772.671,761746,18.00,54.10
1783089773.672,761746,19.00,54.10
1783089774.673,761746,19.00,54.10
1783089775.673,761746,19.00,54.10
1783089776.674,761746,19.00,54.10
1783089777.675,761746,18.00,54.10
1783089778.675,761746,19.00,54.10
1783089779.676,761746,19.00,54.10
1783089780.677,761746,19.00,54.10
1783089781.677,761746,19.00,54.10
1783089782.678,761746,19.00,54.10
1783089783.679,761746,20.00,54.10
1783089784.680,761746,22.00,55.95
1783089785.680,761746,20.00,55.96
1783089786.681,761746,18.00,55.97
1783089787.681,761746,19.00,55.98
1783089788.682,761746,19.00,55.98
1783089789.683,761746,19.00,55.99
1783089790.683,761746,19.00,56.00
1783089791.684,761746,20.00,56.00
1783089792.685,761746,19.00,56.00
1783089793.686,761746,19.00,56.00
1783089794.686,761746,18.00,56.00
1783089795.687,761746,20.00,56.00
1783089796.688,761746,21.00,56.00
1783089797.688,761746,20.00,56.00
1783089798.689,761746,18.00,56.01
1783089799.689,761746,19.00,56.01
1783089800.690,761746,19.00,56.01
1783089801.691,761746,19.00,56.01
1783089802.691,761746,18.00,56.01
1783089803.692,761746,19.00,56.01
1783089804.692,761746,18.00,56.01
1783089805.693,761746,19.00,56.01
1783089806.693,761746,20.00,56.01
1783089807.694,761746,20.00,56.01
1783089808.694,761746,20.00,56.01
1783089809.695,761746,20.00,56.01
1783089810.696,761746,21.00,56.01
1783089811.697,761746,19.00,56.01
1783089812.697,761746,18.00,56.01
1783089813.698,761746,18.00,56.01
1783089814.699,761746,20.00,56.02
1783089815.700,761746,19.00,56.02
1783089816.700,761746,19.00,56.02
1783089817.701,761746,21.00,56.02
1783089818.702,761746,19.00,56.02
1783089819.703,761746,21.00,56.02
1783089820.704,761746,20.00,56.02
1783089821.704,761746,21.00,56.02
1783089822.705,761746,19.00,56.02
1783089823.706,761746,21.00,56.02
1783089824.707,761746,20.00,56.02
1783089825.708,761746,21.00,56.02
1783089826.708,761746,20.00,56.02
1783089827.709,761746,19.00,56.02
1783089828.710,761746,19.00,56.02
1783089829.710,761746,20.00,56.02
1783089830.711,761746,20.00,56.02
1783089831.712,761746,20.00,56.02
1783089832.712,761746,19.00,56.02
1783089833.713,761746,19.00,56.02
1783089834.714,761746,22.00,56.02
1783089835.715,761746,17.00,56.02
1783089836.715,761746,19.00,56.02
1783089837.716,761746,20.00,56.02
1783089838.717,761746,20.00,56.02
1783089839.717,761746,18.00,56.02
1783089840.718,761746,18.00,56.02
1783089841.719,761746,19.00,56.02
1783089842.719,761746,17.00,56.02
1783089843.720,761746,23.00,56.02
1783089844.721,761746,21.00,56.02
1783089845.722,761746,21.00,56.02
1783089846.722,761746,20.00,56.02
1783089847.723,761746,21.00,56.02
