epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18545.2,1.72156,1.29542,0.00184,0.57093,0.48034,0.4847,0.29728,1.58775,1.21397,0.00232,0.000424187,0.000424187,0.000424187
43,18985.2,1.71855,1.29143,0.00182,0.57466,0.47963,0.48256,0.29524,1.58543,1.21465,0.00232,0.000417119,0.000417119,0.000417119
44,19422.8,1.71309,1.28044,0.00182,0.58664,0.47185,0.48632,0.29785,1.58572,1.21032,0.00232,0.00041005,0.00041005,0.00041005
45,19860.7,1.72146,1.28688,0.00184,0.56991,0.47683,0.48479,0.29741,1.5837,1.21248,0.00231,0.000402982,0.000402982,0.000402982
46,20300.2,1.71107,1.27295,0.00185,0.57726,0.4807,0.49025,0.30041,1.58904,1.20535,0.00232,0.000395913,0.000395913,0.000395913
47,20744,1.71508,1.28118,0.00183,0.58043,0.47939,0.49023,0.30108,1.58234,1.20921,0.00231,0.000388844,0.000388844,0.000388844
48,21187.2,1.71764,1.27528,0.00182,0.57489,0.48669,0.48914,0.30048,1.58268,1.20623,0.00231,0.000381776,0.000381776,0.000381776
49,21630.3,1.7104,1.26844,0.00183,0.57955,0.47388,0.48666,0.29995,1.58046,1.20808,0.00231,0.000374707,0.000374707,0.000374707
50,22074.8,1.70823,1.26771,0.0018,0.57457,0.48458,0.48939,0.30138,1.58407,1.2012,0.00231,0.000367639,0.000367639,0.000367639
51,22518.4,1.70183,1.26318,0.00182,0.57738,0.48464,0.49042,0.30088,1.58205,1.20427,0.00231,0.00036057,0.00036057,0.00036057
52,22963.3,1.71045,1.26655,0.00182,0.59242,0.4771,0.49296,0.30307,1.58157,1.19921,0.00231,0.000353501,0.000353501,0.000353501
53,23405.5,1.71054,1.26259,0.00181,0.5701,0.48565,0.49277,0.30215,1.58201,1.20183,0.00231,0.000346433,0.000346433,0.000346433
54,23845.5,1.70633,1.25604,0.0018,0.57831,0.49016,0.49398,0.30386,1.58015,1.19495,0.0023,0.000339364,0.000339364,0.000339364
55,24283.9,1.6899,1.25158,0.00182,0.58545,0.48039,0.49423,0.30448,1.57879,1.20035,0.0023,0.000332296,0.000332296,0.000332296
56,24724.7,1.69743,1.25735,0.00182,0.58615,0.48641,0.49496,0.30413,1.58031,1.20052,0.0023,0.000325227,0.000325227,0.000325227
57,25169.1,1.70122,1.25145,0.00181,0.58176,0.4931,0.49845,0.30773,1.57577,1.19446,0.00229,0.000318158,0.000318158,0.000318158
58,25611.7,1.70217,1.24736,0.00181,0.58961,0.48235,0.50003,0.30795,1.58206,1.19044,0.0023,0.00031109,0.00031109,0.00031109
59,26054.3,1.69787,1.24308,0.0018,0.58395,0.49062,0.50241,0.3079,1.57983,1.18628,0.0023,0.000304021,0.000304021,0.000304021
60,26494.1,1.68927,1.24085,0.0018,0.58596,0.48683,0.49812,0.30649,1.57471,1.1873,0.00229,0.000296953,0.000296953,0.000296953
61,26936.8,1.70263,1.24038,0.00181,0.58716,0.48671,0.49897,0.30696,1.57699,1.18922,0.00229,0.000289884,0.000289884,0.000289884
62,27374.6,1.69764,1.24059,0.00179,0.60048,0.48188,0.49878,0.30771,1.5732,1.18684,0.00228,0.000282815,0.000282815,0.000282815
63,27812.8,1.69066,1.23541,0.0018,0.58414,0.48935,0.50048,0.30864,1.57374,1.18427,0.00229,0.000275747,0.000275747,0.000275747
64,28253.7,1.68828,1.23306,0.00179,0.58908,0.48449,0.49946,0.3072,1.57438,1.18637,0.00229,0.000268678,0.000268678,0.000268678
65,28689.8,1.68315,1.22693,0.00178,0.58042,0.49381,0.50077,0.30827,1.57493,1.18253,0.00229,0.00026161,0.00026161,0.00026161
66,29127.5,1.68435,1.23079,0.00179,0.58191,0.49825,0.5012,0.30816,1.57324,1.1828,0.00229,0.000254541,0.000254541,0.000254541
67,29566.3,1.68833,1.22938,0.00179,0.58997,0.48545,0.50006,0.30796,1.57447,1.18502,0.00228,0.000247472,0.000247472,0.000247472
68,30004.8,1.67854,1.21979,0.00178,0.57785,0.49466,0.50158,0.309,1.57096,1.18176,0.00228,0.000240404,0.000240404,0.000240404
69,30446.7,1.68276,1.22303,0.00177,0.58289,0.49216,0.50484,0.3114,1.57041,1.18228,0.00228,0.000233335,0.000233335,0.000233335
70,30886.5,1.68426,1.22296,0.00178,0.59042,0.48872,0.50217,0.30977,1.57094,1.18197,0.00228,0.000226267,0.000226267,0.000226267
71,31324.4,1.67336,1.21913,0.00178,0.5888,0.4892,0.50221,0.30991,1.57111,1.18181,0.00228,0.000219198,0.000219198,0.000219198
72,31765.2,1.68637,1.22167,0.00177,0.59162,0.4873,0.50163,0.3095,1.56952,1.17797,0.00228,0.000212129,0.000212129,0.000212129
73,32205.6,1.67475,1.21405,0.00177,0.59261,0.4903,0.50262,0.31045,1.57386,1.18033,0.00228,0.000205061,0.000205061,0.000205061
74,32646.2,1.6785,1.20931,0.00176,0.59145,0.49066,0.5023,0.30971,1.57242,1.17974,0.00228,0.000197992,0.000197992,0.000197992
75,33084.2,1.68186,1.2088,0.00177,0.59022,0.49132,0.5012,0.30883,1.57115,1.18003,0.00228,0.000190924,0.000190924,0.000190924
76,33521.2,1.67258,1.21052,0.00177,0.58378,0.49576,0.5037,0.30995,1.57321,1.17863,0.00228,0.000183855,0.000183855,0.000183855
77,33962.1,1.6793,1.20964,0.00177,0.58237,0.49582,0.50374,0.31056,1.57234,1.17947,0.00228,0.000176786,0.000176786,0.000176786
78,34397.9,1.67396,1.2102,0.00176,0.58706,0.49742,0.50483,0.31092,1.57042,1.17698,0.00228,0.000169718,0.000169718,0.000169718
79,34838.1,1.68621,1.21069,0.00176,0.5942,0.49308,0.50572,0.3123,1.57028,1.17405,0.00228,0.000162649,0.000162649,0.000162649
80,35270.1,1.66777,1.19833,0.00177,0.59395,0.49326,0.50674,0.31261,1.56946,1.17526,0.00228,0.000155581,0.000155581,0.000155581
81,35706.3,1.6761,1.20279,0.00175,0.59296,0.49378,0.50747,0.31274,1.56797,1.17769,0.00227,0.000148512,0.000148512,0.000148512
82,36141.8,1.67676,1.2009,0.00176,0.60121,0.48792,0.50709,0.31276,1.57173,1.17601,0.00228,0.000141443,0.000141443,0.000141443
83,36578.4,1.6796,1.20635,0.00175,0.60471,0.48889,0.50715,0.31363,1.5707,1.17404,0.00228,0.000134375,0.000134375,0.000134375
84,37013.1,1.66089,1.18906,0.00176,0.59605,0.49187,0.50891,0.31504,1.57082,1.17466,0.00228,0.000127306,0.000127306,0.000127306
85,37450.9,1.66962,1.1965,0.00176,0.59561,0.49172,0.50919,0.3143,1.56972,1.17299,0.00228,0.000120238,0.000120238,0.000120238
86,37890.4,1.66989,1.19492,0.00174,0.58687,0.49917,0.50802,0.31361,1.57093,1.17255,0.00228,0.000113169,0.000113169,0.000113169
87,38329.9,1.67055,1.19363,0.00175,0.59401,0.49679,0.50894,0.31384,1.57058,1.17209,0.00228,0.0001061,0.0001061,0.0001061
88,38767.6,1.66605,1.18444,0.00174,0.60254,0.48869,0.50928,0.31415,1.5702,1.17101,0.00228,9.90318e-05,9.90318e-05,9.90318e-05
89,39204.5,1.65969,1.1852,0.00175,0.59345,0.49214,0.50912,0.31388,1.57079,1.17221,0.00228,9.19632e-05,9.19632e-05,9.19632e-05
90,39642.8,1.65034,1.17982,0.00174,0.59982,0.48988,0.50868,0.31388,1.57007,1.17306,0.00228,8.48946e-05,8.48946e-05,8.48946e-05
91,40035.6,1.61197,1.15316,0.00184,0.59178,0.49307,0.50562,0.31058,1.57581,1.18074,0.00229,7.7826e-05,7.7826e-05,7.7826e-05
92,40428.8,1.60429,1.13925,0.00181,0.59916,0.48826,0.50536,0.31,1.57792,1.1837,0.00229,7.07574e-05,7.07574e-05,7.07574e-05
93,40818.1,1.60598,1.13419,0.00182,0.60526,0.48598,0.50487,0.30977,1.5789,1.18258,0.0023,6.36888e-05,6.36888e-05,6.36888e-05
94,41205.6,1.60441,1.13278,0.00182,0.60264,0.48652,0.50592,0.31072,1.57861,1.18179,0.0023,5.66202e-05,5.66202e-05,5.66202e-05
95,41592.6,1.60251,1.13187,0.00181,0.59739,0.49083,0.50495,0.31065,1.5782,1.18172,0.0023,4.95516e-05,4.95516e-05,4.95516e-05
96,41978.8,1.60107,1.13069,0.00181,0.58793,0.49412,0.50458,0.3104,1.57937,1.18051,0.0023,4.2483e-05,4.2483e-05,4.2483e-05
97,42367,1.60074,1.12781,0.00181,0.59052,0.49294,0.50533,0.31117,1.57859,1.18132,0.0023,3.54144e-05,3.54144e-05,3.54144e-05
98,42753.9,1.59743,1.12268,0.00179,0.59496,0.49005,0.50576,0.31174,1.57796,1.18005,0.0023,2.83458e-05,2.83458e-05,2.83458e-05
99,43144,1.60215,1.1273,0.00179,0.59247,0.4923,0.50591,0.31169,1.57751,1.18002,0.0023,2.12772e-05,2.12772e-05,2.12772e-05
100,43533.9,1.60284,1.12683,0.00179,0.59888,0.48903,0.50615,0.31157,1.57806,1.17865,0.0023,1.42086e-05,1.42086e-05,1.42086e-05
