scenario,tier,rate_label,metric,family,group_a,group_b,overload_saturates,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
M6,k10,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.4094,23.3040643,1.0871493692983765e-09
M6,k10,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.62372385,23.327098649999996,1.0871493692983765e-09
M6,k5,r40,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.84554675,20.35647625,1.0871493692983765e-09
M6,k5,r80,lat_p95,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.35521155,20.385820475,1.0871493692983765e-09
M1,high,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.674358999999999,11666.30743965,3.6238312309945887e-10
M1,low,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.85323025,16.370090225,3.6238312309945887e-10
M1,medium,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.4715275,42.18638374999996,3.6238312309945887e-10
M2,high,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,10.0444545,32.78677527499979,3.6238312309945887e-10
M2,low,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.75464,14.8847338,3.6238312309945887e-10
M2,medium,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.274154975,17.506874175,3.6238312309945887e-10
M3,high,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.379993500000001,35.130905,3.6238312309945887e-10
M3,low,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.783875424999998,20.7025345,3.6238312309945887e-10
M3,medium,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.967132,19.190813249999998,3.6238312309945887e-10
M4,high,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,30.0,5.572653248454238e-10,0.03333333333333333,-0.9333333333333333,large,9.39614375,15.478765724999993,5.572653248454238e-10
M4,low,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.552389999999999,14.15732,3.6238312309945887e-10
M4,medium,r120_overload,lat_p95,overload_image,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.997977249999998,15.837165524999996,3.6238312309945887e-10
M6,k1,r120_overload,lat_p95,overload_page,rest,graphql,rest,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.999906000000001,18.085978400000002,9.059578077486472e-11
M6,k10,r120_overload,lat_p95,overload_page,rest,graphql,rest,30,30,900.0,3.019859359162157e-11,1.0,1.0,large,1602.711057325,37.84736192500003,9.059578077486472e-11
M6,k5,r120_overload,lat_p95,overload_page,rest,graphql,rest,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.766045,20.973061725,9.059578077486472e-11
M5,w2,r120_overload,lat_p95,overload_track,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.819624974999996,20.795323149999934,9.059578077486472e-11
M5,w23,r120_overload,lat_p95,overload_track,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.556329775,8646.4732132,9.059578077486472e-11
M5,w8,r120_overload,lat_p95,overload_track,rest,graphql,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.914923974999997,43.37327,9.059578077486472e-11
M1,high,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.653515500000001,20.455868,1.0871493692983765e-09
M1,high,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.698697,20.9412545,1.0871493692983765e-09
M1,low,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.6251584999999995,12.85892675,1.0871493692983765e-09
M1,low,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.2431325,12.700410250000001,1.0871493692983765e-09
M1,medium,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.993539999999999,15.794107499999999,1.0871493692983765e-09
M1,medium,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.797950500000001,15.6732945,1.0871493692983765e-09
M2,high,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,9.00345,15.63524825,1.0871493692983765e-09
M2,high,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.22238775,15.565504,1.0871493692983765e-09
M2,low,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.592344,11.90895025,1.0871493692983765e-09
