unix_ts,pid,cpu_percent,rss_mb
1781958303.915,33500,0.00,72.21
1781958304.916,33500,101.50,73.34
1781958305.916,33500,101.50,74.07
1781958306.917,33500,101.50,74.21
1781958307.917,33500,98.40,74.18
1781958308.917,33500,101.50,73.93
1781958309.918,33500,103.10,73.87
1781958310.918,33500,101.50,74.14
1781958311.919,33500,103.10,74.44
1781958312.919,33500,100.00,74.27
1781958313.920,33500,101.50,74.38
1781958314.920,33500,62.50,74.96
1781958315.921,33500,100.00,74.93
1781958316.922,33500,98.40,75.00
1781958317.922,33500,101.50,75.48
1781958318.922,33500,101.50,75.58
1781958319.923,33500,103.10,75.55
1781958320.924,33500,99.90,74.91
1781958321.924,33500,99.90,74.85
1781958322.925,33500,101.50,74.88
1781958323.926,33500,101.50,74.85
1781958324.927,33500,64.00,75.49
1781958325.928,33500,99.90,75.52
1781958326.928,33500,100.00,75.52
1781958327.929,33500,99.90,75.54
1781958328.929,33500,101.50,75.54
1781958329.930,33500,100.00,75.59
1781958330.930,33500,101.50,75.57
1781958331.931,33500,99.90,74.88
1781958332.932,33500,101.50,74.93
1781958333.932,33500,101.50,74.98
1781958334.933,33500,78.10,74.87
1781958335.933,33500,76.50,75.46
1781958336.934,33500,101.50,75.52
1781958337.935,33500,96.80,75.62
1781958338.935,33500,98.40,75.62
1781958339.936,33500,98.40,75.52
1781958340.936,33500,98.40,74.96
1781958341.937,33500,101.50,74.96
1781958342.937,33500,101.50,74.92
1781958343.938,33500,101.50,74.94
1781958344.938,33500,103.10,74.96
