unix_ts,pid,cpu_percent,rss_mb
1781958260.278,15884,0.00,66.05
1781958261.278,15884,98.40,67.48
1781958262.279,15884,101.50,67.71
1781958263.279,15884,100.00,68.02
1781958264.280,15884,100.00,68.10
1781958265.280,15884,104.60,68.10
1781958266.281,15884,106.20,68.07
1781958267.281,15884,100.00,68.08
1781958268.282,15884,101.50,68.12
1781958269.282,15884,101.50,68.18
1781958270.283,15884,95.20,68.45
1781958271.284,15884,59.30,69.12
1781958272.284,15884,101.50,69.17
1781958273.285,15884,98.40,69.22
1781958274.286,15884,98.40,69.28
1781958275.286,15884,103.10,69.40
1781958276.287,15884,96.80,69.23
1781958277.287,15884,103.10,68.73
1781958278.288,15884,100.00,68.69
1781958279.288,15884,99.90,68.75
1781958280.289,15884,98.40,68.74
1781958281.290,15884,64.00,69.23
1781958282.290,15884,101.50,69.32
1781958283.291,15884,99.90,69.23
1781958284.291,15884,98.40,69.26
1781958285.292,15884,104.60,69.41
1781958286.292,15884,103.10,69.43
1781958287.293,15884,101.50,68.50
1781958288.293,15884,100.00,68.50
1781958289.294,15884,103.10,68.48
1781958290.294,15884,103.10,68.49
1781958291.295,15884,81.20,67.59
1781958292.295,15884,82.80,69.36
1781958293.295,15884,101.50,69.33
1781958294.296,15884,99.90,69.30
1781958295.297,15884,104.60,69.29
1781958296.297,15884,100.00,69.33
1781958297.298,15884,101.50,68.86
1781958298.298,15884,99.90,68.82
1781958299.299,15884,99.90,68.84
1781958300.299,15884,103.10,68.80
1781958301.300,15884,98.40,68.88
