run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
259735774758,B0049,graphql,partial,medium,50,22,run-sesi-1,1781995176.609,1781995237.336,383.573072,484.46907539999995,583.0577299599998,121.75191203949566,2676,0.43865899999999997,0.34424,0,100.89180327868853,102.9,74.62327868852459,74.65,7349,
2e95a2e1a909,B0049,graphql,partial,medium,50,23,run-sesi-1,1781995237.346,1781995298.149,387.949618,516.379327,616.3835876,118.53657580247965,2669,0.470116,0.34894,0,100.38360655737705,102.0,74.61196721311475,74.65,7161,
e97a4bd56be1,B0049,graphql,partial,medium,50,24,run-sesi-1,1781995298.160,1781995358.847,393.72049,523.4999686,592.7348664799996,118.48451448489871,2661,0.4638226,0.34226,0,101.43833333333333,102.9,74.54933333333334,74.64,7149,
06c2d0618c6d,B0049,graphql,partial,medium,50,25,run-sesi-1,1781995358.858,1781995419.663,388.556188,509.3741086,604.86063849,120.03424679522062,2669,0.4514281,0.3426575,0,100.82131147540984,101.9,74.64491803278689,74.67,7254,
c75a1bbafea5,B0049,graphql,partial,medium,50,26,run-sesi-1,1781995419.674,1781995480.378,385.1542955,502.34296900000004,638.5263870000001,120.06702657151367,2661,0.46213475,0.3462555,0,100.82333333333334,102.045,74.65216666666667,74.67,7246,
f0dfd9d46662,B0049,graphql,partial,medium,50,27,run-sesi-1,1781995480.390,1781995541.042,385.333395,518.3175908,583.7314745200001,119.81656963115725,2669,0.4587558,0.343643,0,101.45666666666668,102.9,74.62466666666667,74.67,7225,
ccfe92fa4499,B0049,graphql,partial,medium,50,28,run-sesi-1,1781995541.054,1781995601.662,398.326574,523.2575327999999,613.00014034,118.73039651083228,2669,0.4577073,0.329528,0,100.85573770491804,102.9,74.61065573770492,74.7,7155,
f2973bb1d347,B0049,graphql,partial,medium,50,29,run-sesi-1,1781995601.674,1781995662.446,399.198316,526.8433016,590.8389444200001,118.31363437879554,2671,0.467199,0.33859,0,101.12333333333333,102.9,74.62866666666666,74.71,7147,
897d98372820,B0018,rest,filtered,low,10,0,run-sesi-1,1781995845.009,1781995905.381,16.054862999999997,21.77796795,26.256441049999967,599.7157529451878,612,0.016442449999999997,0.011212,0,105.22295081967214,107.0,64.70885245901638,64.71,35992,
1e7d310788c0,B0018,rest,filtered,low,10,1,run-sesi-1,1781995905.385,1781995965.728,16.31227,22.655491799999997,28.613518060000015,587.3384339778897,523,0.017195499999999985,0.011425,0,105.60333333333334,107.9,64.71866666666666,64.72,35247,
cac9a3f64abe,B0018,rest,filtered,low,10,2,run-sesi-1,1781995965.731,1781996026.090,16.170035499999997,23.17435275,29.361337049999992,590.8309047311564,524,0.01779425,0.011373,0,105.7,107.9,64.7475,64.77,35456,
0077d94ea51e,B0018,rest,filtered,low,10,3,run-sesi-1,1781996026.094,1781996086.433,16.140566,22.3768612,27.77272559999999,594.0645580312722,524,0.01703,0.011323,0,104.81147540983608,107.0,64.7804918032787,64.79,35649,
9544c87ec202,B0018,rest,filtered,low,10,4,run-sesi-1,1781996086.437,1781996146.785,16.018501999999998,22.25946575,27.689284350000015,599.6468595927251,524,0.016973,0.011218,0,105.81833333333334,106.9,64.79,64.79,35986,
6d8c3bcc5500,B0018,rest,filtered,low,10,5,run-sesi-1,1781996146.790,1781996207.155,16.112798,23.241579500000004,29.91044593999998,591.9770708322469,524,0.017872,0.01134,0,105.85666666666667,107.9,64.79,64.79,35523,
47d79931eb51,B0018,rest,filtered,low,10,6,run-sesi-1,1781996207.160,1781996267.510,16.0325505,22.628213399999996,28.263923400000007,597.4040510847062,524,0.017283549999999995,0.011225,0,105.57000000000001,107.9,64.79,64.79,35850,
605fcd932efa,B0018,rest,filtered,low,10,7,run-sesi-1,1781996267.515,1781996327.853,16.00478,22.25226515,27.474671949999987,600.1430552161557,524,0.016896449999999997,0.011203,0,105.19836065573772,106.9,64.79,64.79,36012,
0e7af6ea1bf4,B0018,rest,filtered,low,10,8,run-sesi-1,1781996327.859,1781996388.228,15.980293,21.884321599999996,26.756105599999998,601.821201787169,524,0.0165832,0.011166,0,105.43333333333334,106.9,64.79,64.79,36117,
3fa353336f28,B0018,rest,filtered,low,10,9,run-sesi-1,1781996388.234,1781996448.590,16.181847,22.179884299999983,27.21789948000003,593.3365357993678,524,0.016768399999999992,0.011293,0,105.30166666666668,106.9,64.80016666666667,64.83,35607,
cc1828b3a4ed,B0018,rest,filtered,low,10,10,run-sesi-1,1781996448.596,1781996508.951,16.206415,22.736228900000004,29.228670320000017,588.4083142533693,523,0.017258,0.011373,0,104.94426229508197,107.9,64.83622950819672,64.84,35308,
