epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.71,1.99184,3.28409,0.00231,0.44086,0.20771,0.15842,0.09297,1.76182,2.43955,0.00268,0.000237673,0.000237673,0.000237673
2,968.75,1.9075,2.31371,0.00216,0.33742,0.27915,0.22391,0.13171,1.72776,2.01169,0.00261,0.000470964,0.000470964,0.000470964
3,1401.94,1.91002,2.01602,0.00209,0.36579,0.32304,0.26676,0.15632,1.69408,1.76762,0.00253,0.000699542,0.000699542,0.000699542
4,1835.58,1.878,1.84475,0.00209,0.38453,0.33999,0.2919,0.17234,1.69889,1.70226,0.00253,0.000692794,0.000692794,0.000692794
5,2265.12,1.86097,1.75783,0.00205,0.40253,0.35817,0.31029,0.18604,1.6822,1.62633,0.0025,0.000685726,0.000685726,0.000685726
6,2696.07,1.856,1.69114,0.00203,0.42362,0.37604,0.33589,0.19694,1.68489,1.53989,0.0025,0.000678657,0.000678657,0.000678657
7,3291.55,1.86522,1.65324,0.002,0.43833,0.38323,0.35086,0.20975,1.68859,1.51842,0.00248,0.000671588,0.000671588,0.000671588
8,3722.27,1.84586,1.61206,0.002,0.45421,0.3926,0.36622,0.22115,1.66191,1.46576,0.00245,0.00066452,0.00066452,0.00066452
9,4157.07,1.83738,1.58826,0.00199,0.45025,0.39733,0.36724,0.22066,1.67103,1.4735,0.00246,0.000657451,0.000657451,0.000657451
10,4587.99,1.82542,1.5611,0.00198,0.46584,0.41344,0.38672,0.23161,1.65605,1.42489,0.00245,0.000650383,0.000650383,0.000650383
11,5021.54,1.83061,1.53486,0.00196,0.4825,0.40998,0.38741,0.23442,1.64304,1.40455,0.00243,0.000643314,0.000643314,0.000643314
12,5459.35,1.82751,1.52876,0.00194,0.47885,0.40911,0.38812,0.23381,1.66146,1.40205,0.00244,0.000636245,0.000636245,0.000636245
13,5890.7,1.81757,1.5062,0.00194,0.47904,0.42552,0.40117,0.24137,1.64435,1.39073,0.00241,0.000629177,0.000629177,0.000629177
14,6326.79,1.81457,1.48281,0.00194,0.50226,0.4135,0.40452,0.24352,1.64294,1.38784,0.00241,0.000622108,0.000622108,0.000622108
